experiment_name,scene_name,run_dir,source_path,source_root,image_count,train_view_count,test_view_count,iterations,is_backup
03-20-baseline-smoke-1k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-baseline-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-exist-only-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-20-exist-only-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-20-exist-only-smoke-1k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-exist-only-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-21-merge-retr-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_clip_retrieval_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-merge-retr-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_clip_retrieval_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-merge-retr-15k-2026,room_0_backup_20260320_134031,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_clip_retrieval_15000/room_0_backup_20260320_134031,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-20-merge-retr-smoke-1k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_clip_retrieval_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-merge-retr-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_clip_retrieval_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-21-merge-oracle-sel-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_oracle_select_clip_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-merge-oracle-sel-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_oracle_select_clip_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-merge-oracle-sel-15k-2026,room_0_backup_20260320_132205,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_oracle_select_clip_15000/room_0_backup_20260320_132205,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-20-merge-oracle-sel-smoke-1k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_oracle_select_clip_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-merge-oracle-sel-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_merged_oracle_select_clip_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-oracle-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_oracle_prior_vanilla_3dgs_multi_clip_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-19-oracle-15k-b-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_oracle_prior_vanilla_3dgs_multi_mean_rgb_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-20-oracle-replace-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_oracle_prior_vanilla_3dgs_single_clip_replace_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-21-samescene-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_same_scene_exact_clip_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-samescene-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_same_scene_exact_clip_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-samescene-15k-2026,room_0_backup_20260320_130338,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_same_scene_exact_clip_15000/room_0_backup_20260320_130338,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-20-samescene-smoke-1k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_same_scene_exact_clip_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-20-samescene-smoke-1k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_same_scene_exact_clip_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
03-19-oracle-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-a-2026,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap/office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap,97,,,1000,0
03-19-oracle-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-a-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-oracle-a-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-a-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-oracle-b-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-b-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-oracle-b-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-b-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-oracle-c-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-c-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-c-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-c-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-19-oracle-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v1-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v1-15k-2026,office_0_backup_20260318_171856,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-2026/office_0_backup_20260318_171856,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-21-oracle-af-v1-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v2-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v2-15k-2026,office_0_backup_20260318_172813,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-2026/office_0_backup_20260318_172813,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-21-oracle-af-v2-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-19-oracle-d-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-d-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-d-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-d-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-15k-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-a-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-19-oracle-15k-a-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-a-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-19-oracle-filt-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-filt-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-filt-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-filt-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-wt-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-wt-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-wt-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-wt-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-e-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-e-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-e-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-e-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-oracle-15k-b-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-b-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-19-oracle-15k-b-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-oracle-15k-b-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v1-15k-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-a-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v1-15k-a-2026,office_0_backup_20260319_012052,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-a-2026/office_0_backup_20260319_012052,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-21-oracle-af-v1-15k-a-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v1-15k-a-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v2-15k-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-a-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-oracle-af-v2-15k-a-2026,office_0_backup_20260319_013014,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-a-2026/office_0_backup_20260319_013014,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-21-oracle-af-v2-15k-a-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-oracle-af-v2-15k-a-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
